context,intents-html
A barber appointment,<ol><li>Check if you have messages (in general or from someone on you contact list)</li><li>Get the directions to get somewhere</li></ol>
Julie’s soccer practice,"<ol><li>Check location information (e.g., of a place or a place nearby)</li><li>Get the distance to get somewhere</li></ol>"
A movie,"<ol><li>Check the duration to travel somewhere</li><li>Get location information (e.g., of a place or a place nearby)</li></ol>"
Commuting to the office,<ol><li>Check the time to depart to get somewhere</li><li>Get weather information</li></ol>
Meeting with a friend,"<ol><li>Check location information (e.g., of a place or a place nearby)</li><li>Get location information (e.g., of a place or a place nearby)</li></ol>"
Catch a flight,<ol><li>Check information on a public event</li><li>Update a reminder</li></ol>
Catch a flight,<ol><li>Check traffic information</li><li>Get the duration of a drive</li></ol>
A movie,"<ol><li>Check location information (e.g., of a place or a place nearby)</li><li>Get location information (e.g., of a place or a place nearby)</li></ol>"
Catch a flight,<ol><li>Check traffic information</li><li>Get weather information</li></ol>
Catch a flight,<ol><li>Check weather information</li><li>Get information on a public event</li></ol>
A movie,<ol><li>Check if you have messages (in general or from someone on you contact list)</li><li>Get information on a public event</li></ol>
A workout,"<ol><li>Get location information (e.g., of a place or a place nearby)</li><li>Get the distance to get somewhere</li></ol>"
Birthday party,<ol><li>Get weather information</li><li>Get the distance to get somewhere</li></ol>
A barber appointment,"<ol><li>Check location information (e.g., of a place or a place nearby)</li><li>Get the duration of a drive</li></ol>"
Julie’s soccer practice,<ol><li>Check information on a public event</li><li>Order a ride share for you on your favorite ride sharing app</li></ol>
Birthday party,"<ol><li>Get location information (e.g., of a place or a place nearby)</li><li>Get information on a public event</li></ol>"
The Eagles game,<ol><li>Start a workout session on your favorite workout app</li><li>Get information on a public event</li></ol>
At the office,<ol><li>Order a ride share for you on your favorite ride sharing app</li><li>Get information on a public event</li></ol>
Commuting to the office,<ol><li>Check weather information</li><li>Get an estimated time of arrival</li></ol>
A dentist appointment,<ol><li>Get the distance to get somewhere</li><li>Get weather information</li></ol>
The Eagles game,<ol><li>Order a coffee to go for you from your favorite cafe</li><li>Get traffic information</li></ol>
A concert,<ol><li>Check the duration of a drive</li><li>Get the duration to travel somewhere</li></ol>
Yoga class,"<ol><li>Check location information (e.g., of a place or a place nearby)</li><li>Update a reminder</li></ol>"
A dentist appointment,<ol><li>Get an estimated time of arrival</li><li>Get the distance to get somewhere</li></ol>
A doctor appointment,<ol><li>Get weather information</li><li>Get information on a public event</li></ol>
At home,<ol><li>Check weather information</li><li>Order a coffee to go for you from your favorite cafe</li></ol>
Catch a flight,"<ol><li>Get location information (e.g., of a place or a place nearby)</li><li>Get the directions to get somewhere</li></ol>"
A concert,<ol><li>Check the distance to get somewhere</li><li>Get the duration of a drive</li></ol>
A barber appointment,<ol><li>Check the distance to get somewhere</li><li>Delete a reminder</li></ol>
A movie,<ol><li>Check information on a public event</li><li>Get the distance to get somewhere</li></ol>
A doctor appointment,<ol><li>Check if you have messages (in general or from someone on you contact list)</li><li>Delete a reminder</li></ol>
A barber appointment,<ol><li>Get information on a public event</li><li>Get weather information</li></ol>
Birthday party,<ol><li>Reply to a text message</li><li>Order a coffee to go for you from your favorite cafe</li></ol>
A stand up show,"<ol><li>Check the time to depart to get somewhere</li><li>Get location information (e.g., of a place or a place nearby)</li></ol>"
A workout,"<ol><li>Check location information (e.g., of a place or a place nearby)</li><li>Start a workout session on your favorite workout app</li></ol>"
At the office,<ol><li>Check information on a public event</li><li>Get information on a public event</li></ol>
A workout,<ol><li>Get the directions to get somewhere</li><li>Get weather information</li></ol>
At home,"<ol><li>Check an estimated time of arrival</li><li>Get location information (e.g., of a place or a place nearby)</li></ol>"
Yoga class,"<ol><li>Check location information (e.g., of a place or a place nearby)</li><li>Delete something on your calendar</li></ol>"
At the office,<ol><li>Check calendar for events or availability</li><li>Update a reminder</li></ol>
Catch a flight,<ol><li>Check traffic information</li><li>Reply to a text message</li></ol>
Birthday party,"<ol><li>Check location information (e.g., of a place or a place nearby)</li><li>Get weather information</li></ol>"
At the office,<ol><li>Create a reminder</li><li>Get information on a public event</li></ol>
Commuting to the office,<ol><li>Get information on a public event</li><li>Get an estimated time of arrival</li></ol>
At home,<ol><li>Check the time to depart to get somewhere</li><li>Get the duration of a drive</li></ol>
A dentist appointment,<ol><li>Check information on a public event</li><li>Send a text message to anyone on your contact list</li></ol>
Julie’s soccer practice,<ol><li>Get the directions to get somewhere</li><li>Order a coffee to go for you from your favorite cafe</li></ol>
A concert,"<ol><li>Delete a reminder</li><li>Get location information (e.g., of a place or a place nearby)</li></ol>"
