id,context,intents,intents-count,icons,instructions_text,instructions,word
,Movie,Inquire on the duration to travel to somewhere | Delete something on your calendar,2,map | calendar3,"Depending on the estimated time of arrival (don't assume you know it), delete something on your calendar",,once
,Doctor'a appointment,"Inquire on location information (e.g., of a place or a place nearby) | Start a workout session on your favorite workout app",2,geo | phone,"Inquire on location information (e.g., of a place or a place nearby), start a workout session on your favorite workout app, an",,once
,Meeting with a friend,Inquire on the estimated time of arrival | Inquire on the duration of a drive,2,map | map,"Inquire on the estimated time of arrival, inquire on the duration of a drive, an",,once
,Movie,"Inquire on location information (e.g., of a place or a place nearby) | Inquire on information on a public event",2,geo | info,"Inquire on location information (e.g., of a place or a place nearby), depending on information on a public event (don't assume you know it)",,in case
,At the office,Check for a reminder | Inquire on the duration to travel to somewhere,2,bell | map,"Depending on reminders information (don't assume you know it), inquire on the duration to travel to somewhere",,even if
,At home,Inquire on the duration to travel to somewhere | Inquire on the estimated time of arrival,2,map | map,"Depending on the estimated time of arrival (don't assume you know it), inquire on the estimated time of arrival",,in case
,Stand up show,Inquire on the weather | Update a reminder,2,cloud-sun | bell,"Inquire on the weather, update a reminder, an",,in case
,Your favorite team's game,Inquire on the weather | Order a ride share for you on your favorite ride sharing app,2,cloud-sun | phone,"Inquire on the weather, order a ride share for you on your favorite ride sharing app, an",,in case
,Movie,Inquire on traffic information | Delete something on your calendar,2,map | calendar3,"Depending on traffic information (don't assume you know it), delete something on your calendar",,once
,Stand up shows,"Inquire on location information (e.g., of a place or a place nearby) | based on calendar events or availability",2,geo | calendar3,"Inquire on location information (e.g., of a place or a place nearby), depending on calendar events or availability (don't assume you know it)",,until
,At home,based on calendar events or availability | Inquire on the directions to somewhere,2,calendar3 | map,"Depending on calendar events or availability (don't assume you know it), inquire on the directions to somewhere",,so that
,Workout,"send a text message to anyone on your contact list | Inquire on location information (e.g., of a place or a place nearby)",2,chat | geo,"Send a text message to anyone on your contact list, inquire on location information (e.g., of a place or a place nearby), an",,so that
,Stand up shows,"Inquire on the duration to travel to somewhere | Inquire on location information (e.g., of a place or a place nearby)",2,map | geo,"Inquire on the duration to travel to somewhere, depending on a place location information (don't assume you know it)",,as
,Barber's appointment,"send a text message to anyone on your contact list | Inquire on location information (e.g., of a place or a place nearby)",2,chat | geo,"Send a text message to anyone on your contact list, inquire on location information (e.g., of a place or a place nearby), an",,as
,Doctor'a appointment,Inquire on the duration to travel to somewhere | Inquire on the weather,2,map | cloud-sun,"Inquire on the duration to travel to somewhere, inquire on the weather, an",,as
,Barber's appointment,send a text message to anyone on your contact list | Start a workout session on your favorite workout app,2,chat | phone,"Send a text message to anyone on your contact list, start a workout session on your favorite workout app, an",,as
,Family dinner,"Inquire on information on a public event | Inquire on traffic information | Inquire on location information (e.g., of a place or a place nearby)",3,info | map | geo,"Inquire on information on a public event, depending on traffic information (don't assume you know it), depending on a place location information (don't assume you know it)",,while
,Commuting to the office,Inquire on information on a public event | Inquire on the weather,2,info | cloud-sun,"Inquire on information on a public event, depending on weather information (don't assume you know it)",,in that
,Family dinner,Inquire on the duration of a drive | Order a coffee to go for you from your favorite cafe,2,map | phone,"Depending on the duration of a drive (don't assume you know it), order a coffee to go for you from your favorite cafe",,while
,At home,reply to a text message | Inquire on traffic information,2,chat | map,"Reply to a text message, inquire on traffic information, an",,while
,Yoga class,Create a reminder | Inquire on the time to depart to get to somewhere,2,bell | map,"Create a reminder, depending on the time to depart to get to somewhere (don't assume you know it)",,so that
,Rally,Inquire on information on a public event | Inquire on traffic information,2,info | map,"Depending on information on a public event (don't assume you know it), inquire on traffic information",,so that
,Meeting with a friend,"Inquire on location information (e.g., of a place or a place nearby) | Inquire on the duration of a drive",2,geo | map,"Inquire on location information (e.g., of a place or a place nearby), depending on the duration of a drive (don't assume you know it)",,provided
,Doctor'a appointment,Update a reminder | Inquire on the weather,2,bell | cloud-sun,"Update a reminder, depending on weather information (don't assume you know it)",,whether
,Family dinner,"Inquire on location information (e.g., of a place or a place nearby) | Inquire on the estimated time of arrival",2,geo | map,"Inquire on location information (e.g., of a place or a place nearby), inquire on the estimated time of arrival, an",,whether
,Doctor'a appointment,Inquire on information on a public event | Inquire on the estimated time of arrival,2,info | map,"Inquire on information on a public event, depending on the estimated time of arrival (don't assume you know it)",,unless
